date,gname,longitude,latitude,value,attype
2017-01-24,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,7.0,Bombing/Explosion
2017-01-24,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,7.0,Bombing/Explosion
2017-01-25,Al-Shabaab,45.326115,2.059819,34.0,Bombing/Explosion
2017-01-25,Al-Shabaab,43.189167,1.959444,3.0,Hostage Taking (Kidnapping)
2017-01-25,Al-Shabaab,49.179657,11.274796,0.0,Assassination
2017-01-25,Al-Shabaab,45.118061,2.14383,9.0,Bombing/Explosion
2017-01-25,Taliban,63.864056999999995,32.106665,0.0,Unarmed Assault
2017-01-25,Boko Haram,12.191864,10.611680999999999,3.0,Armed Assault
2017-01-25,Maoists,81.35,18.9,0.0,Armed Assault
2017-01-25,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,1.0,Bombing/Explosion
2017-01-25,Islamic State of Iraq and the Levant (ISIL),45.440578,34.035641,2.0,Hostage Taking (Kidnapping)
2017-01-25,Islamic State of Iraq and the Levant (ISIL),43.295662,33.420947999999996,0.0,Bombing/Explosion
2017-01-25,Islamic State of Iraq and the Levant (ISIL),43.763918,34.53584,1.0,Armed Assault
2017-01-25,Islamic State of Iraq and the Levant (ISIL),43.683333000000005,34.6,1.0,Armed Assault
2017-01-25,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Unknown
2017-01-26,Islamic State of Iraq and the Levant (ISIL),43.429534999999994,33.233311,1.0,Unknown
2017-01-26,Islamic State of Iraq and the Levant (ISIL),43.240556,35.485833,1.0,Bombing/Explosion
2017-01-26,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,1.0,Bombing/Explosion
2017-01-26,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,5.0,Bombing/Explosion
2017-01-26,Islamic State of Iraq and the Levant (ISIL),44.659943,33.773533,0.0,Bombing/Explosion
2017-01-27,Al-Shabaab,41.223171,-1.136914,79.0,Bombing/Explosion
2017-01-27,Taliban,64.248754,31.621859999999998,7.0,Armed Assault
2017-01-27,Taliban,62.922222,32.550934000000005,7.0,Armed Assault
2017-01-27,Khorasan Chapter of the Islamic State,70.786385,34.195751,3.0,Armed Assault
2017-01-27,Taliban,65.893608,32.634048,7.0,Unknown
2017-01-27,Al-Shabaab,45.326115,2.059819,1.0,Assassination
